Metric,SalesDate,Amount
Taxes expected,2024-12-24,193.19
Taxes collected,2024-12-24,193.19
Tips,2024-12-24,40.5
Amount collected,2024-12-24,2328.76
Unpaid balance,2024-12-24,0.0
Gross sales,2024-12-25,0.0
Refunds,2024-12-25,0.0
Net sales,2024-12-25,0.0
Overpayments,2024-12-25,0.0
Taxes expected,2024-12-25,0.0
Taxes collected,2024-12-25,0.0
Tips,2024-12-25,0.0
Amount collected,2024-12-25,0.0
Unpaid balance,2024-12-25,0.0
Gross sales,2024-12-26,2839.75
Refunds,2024-12-26,0.0
Net sales,2024-12-26,2839.75
Overpayments,2024-12-26,0.0
Taxes expected,2024-12-26,260.67
Taxes collected,2024-12-26,260.67
Tips,2024-12-26,49.27
Amount collected,2024-12-26,3149.69
Unpaid balance,2024-12-26,0.0
Gross sales,2024-12-27,3620.06
Refunds,2024-12-27,0.0
Net sales,2024-12-27,3620.06
Overpayments,2024-12-27,0.0
Taxes expected,2024-12-27,328.97
Taxes collected,2024-12-27,328.97
Tips,2024-12-27,92.92
Amount collected,2024-12-27,4041.95
Unpaid balance,2024-12-27,0.0
Gross sales,2024-12-28,3388.87
Refunds,2024-12-28,0.0
Net sales,2024-12-28,3388.87
Overpayments,2024-12-28,0.0
Taxes expected,2024-12-28,307.43
Taxes collected,2024-12-28,307.43
Tips,2024-12-28,69.89
Amount collected,2024-12-28,3766.19
Unpaid balance,2024-12-28,0.0
Gross sales,2024-12-29,3309.92
Refunds,2024-12-29,0.0
Net sales,2024-12-29,3309.92
Overpayments,2024-12-29,0.0
Taxes expected,2024-12-29,303.53
Taxes collected,2024-12-29,303.53
Tips,2024-12-29,45.87
Amount collected,2024-12-29,3659.32
Unpaid balance,2024-12-29,0.0
Gross sales,2024-12-30,2296.05
Refunds,2024-12-30,0.0
Net sales,2024-12-30,2296.05
Overpayments,2024-12-30,0.0
Taxes expected,2024-12-30,210.67
Taxes collected,2024-12-30,210.67
Tips,2024-12-30,44.9
Amount collected,2024-12-30,2551.62
Unpaid balance,2024-12-30,0.0
Gross sales,2024-12-31,0.0
Refunds,2024-12-31,0.0
Net sales,2024-12-31,0.0
Overpayments,2024-12-31,0.0
Taxes expected,2024-12-31,0.0
Taxes collected,2024-12-31,0.0
Tips,2024-12-31,0.0
Amount collected,2024-12-31,0.0
Unpaid balance,2024-12-31,0.0
